English,中文
blog,博客
adjective,形容词
Welfare,福利
Resources,资源
values,价值
behavior,行为
rights,权利
stock,股票
structure,组织
concept,概念
video,视频
reduce,减少
legal issue,法律问题
Planning,计划
Project,计划
interest,利益
working conditions,工作条件
Consulting,咨询
noun,名词
Seller,卖方
label,标签
statement,声明
objectivity,客观
Owners,所有者
proposal,建议
complication,复杂
reader,读者
language,语言
content,内容
office,办公室
applicant,申请人
representative,代表
community,社区
resource,资源
and legal issues,法律问题
Wages,工资
health care,医疗保健
consumer,消费者
warranty,保证
work,工作
survey,调查
plagiarism,剽窃
justice,司法
process,工艺
ability,能力
copyright,版权所有
professional organization,专业组织
orange,橙色
due process,正当程序
increase,增加
product liability,产品责任
high-speed broadband,高速宽带
claims,要求
impact,影响
action,行动
time frame,时间范围
retaliation,报复
standardization,标准化
many,许多
duty,责任
case,案例
report,报告
poisoning,中毒
competitor,竞争对手
alarm,报警
Reports,报告
forging,锻造
data,数据
manufacturer,制造商
international organization,国际组织
grant,授予
claim,声明
advantage,优势
natural resources,自然资源
amount,数量
annual report,年度报告
quality,质量
text,文本
liability,责任
newsletter,时事通讯
teaching,教学
culture,文化
evaluation,评估
educational level,教育程度
reason,原因
principle,原则
control,控制
Relationship,关系
costs,成本
outage,停电
Supplier,供应商
professionals,专业人员
awareness,认识
problem,问题
theory,理论
religion,宗教
brochure,小册子
comment,评论
human rights,人权
uniqueness,独特性
plant,工厂
the law firm,律师事务所
detailed information,详细信息
bribery,行贿
Buyer,买方
accounts,账户
law firm,律师事务所
claims,索赔
ownership,所有权
warning,警告
trademark,商标
vocabulary,词汇
organization,组织
trademark law,商标法
legal issues,法律问题
broadband,宽带
Press Release,新闻稿
project,项目
professionalism,专业精神
development,发展
confidentiality,机密性
the intellectual property,知识产权
Advertising,广告
newsletter,通讯
corporate culture,企业文化
keyboard,键盘
environment,环境
feature,功能
term,术语
list,清单
european union,欧盟
the european union,欧盟
author,作者
legal protection,法律保护
heart,心脏
reading,阅读
support,支持
Shares,股票
guidelines,准则
core,核心
trailer,拖车
existence,存在
Trend,趋势
change,变化
utility,效用
ethics,伦理道德
access,访问
saw,锯
drug users,吸毒
process,处理
wrongdoing,不法行为
Registered,注册的
message,信息
answer,回答
fair use,合理使用
isolation,隔离
respond,回答
registered trademark,注册商标
Short run,短期
field,领域
moral standards,道德标准
standard,标准
code of ethics,道德守则
diligence,勤奋
attorney,律师
exchange,交换
printer,打印机
smoke,烟
employee,员工
debate,辩论
verb,动词
version,版本
ethics,道德
answer,答案
paste,粘贴
Rights,权利
activities,活动
charge,费用
majority,大多数
role,角色
copyright,版权问题
species,物种
commitment,承诺
Warranty,担保
health,保健
Pollution,污染
source,来源
contract,合同
pollution,污染
employee,雇员
color,颜色
device,设备
have the right,有权
European Union,欧盟
disposal,处理
society,社会
Infrastructure,基础设施
study,研究
Research,研究
new product,新产品
public,公众
patent,专利
environmental protection,环境保护
logo,徽标
Supervisor,主管
case,情况
agency,机构
group,团体
licensor,许可方
maintenance,维护
licensing,许可
legal counsel,法律顾问
need,需要
page,页面
process,程序
competition,竞争
information,信息
Balance Sheet,资产负债表
judgment,判断
respond,答复
warranty,保修
service,服务
trend,趋势
competence,能力
protection,保护
legal concept,法律概念
customer,客户
Ethics,伦理学
client,客户
disciplinary action,纪律处分
location,位置
photocopier,复印机
xerox,复印机
environmental impact,环境影响
Quarter,季度
quarter,季
legal behavior,法律行为
foot,英尺
Costs,成本
Representative,代表
job,工作
contact,联系
website,网站
infrastructure,基础设施
name,名字
Safety,安全
online,在线
portion,部分
media,媒体
Corporations,公司
stakeholders,利益相关者
Profits,利润
extent,范围
range,范围
United States,美国
Protection,保护
privacy,隐私
conclusion,结论
Services,服务
manual,手册
legal duty,法律责任
survival,生存
health care,医疗
license,许可
planning,计划
building,建筑
confidentiality,保密
red,红色
opportunity,机会
account,帐户
policy,策略
online services,在线服务
copy,复制
chief executive officer,首席执行官
evidence,证据
proposal,提案
ethical culture,道德文化
Annual Report,年度报告
formal,正式
infrastructure,基础
copyright,版权
Customers,客户
cause,原因
mail,邮件
issue,问题
Patent,专利
relationship,关系
usability testing,可用性测试
Coca-Cola,可口可乐
knowledge,知识
technical information,技术信息
framework,框架
Source,来源
insider information,内幕信息
image,图像
monitor,监视
name,名称
expulsion,开除
boldface,粗体
Accounts,账户
guidance,指导
majority,多数
safe,安全的
contract law,合同法
clear,清楚
difficulty,困难
Texas Instruments,德州仪器
drug,毒品
design,设计
material,物质
focus,集中
Ethics,伦理
Responsibility,责任
typeface,字体
Institute,协会
pacemaker,起搏器
ethical values,道德价值观
objectivity,客观性
productivity,生产率
manual,手动
defamation,诽谤
understanding,理解
depth,深度
welfare,福利
basic needs,基本需求
productivity,生产
start,开始
intrusion,侵入
State,州
manufacturers,制造商
social media,社会媒体
Theory,理论
intelligence,智力
advertising,广告
engineer,工程师
helmet,头盔
Standards,标准
board,委员会
committee,委员会
commission,委员会
criticism,批评
project personnel,项目人员
material,材料
most people,多数人
value,价值
material,材质
identify,识别
Consultant,顾问
Employees,员工
email,电子邮件
list,列表
first aid,急救
Project,项目
copyright law,版权法
legal rights,权益
Employees,雇员
consultant,顾问
trademarks,商标
symbol,符号
materials,材料
symbols,符号
usability,可用性
medical information,医疗信息
member,成员
consider,考虑
operating,操作
operation,操作
code of conduct,行为守则
Message,信息
fire,火灾
process,过程
permission,许可
conditions,条件
responsibility,责任
criticism,评论
Manufacturing,制造
commentary,评论
Video,视频
funds,资金
premise,前提
through,通过
testing,测试
Purpose,目的
Prices,价格
quarter,季度
intellectual property,知识产权
values,价值观
installation,安装
graphics,图形
holder,持有人
schedule,计划
Resource,资源
part,部分
liability law,责任法
quality,品质
policy,政策
function,功能
audio,音频
factors,因素
common sense,常识
device,装置
Chief Executive Officer,首席执行官
information,资料
Investors,投资者
